frame,tiempo_s,valor_display
90,3.042163049526989,7.90
91,3.0759648611884005,7.70
92,3.1097666728498115,7.70
93,3.1435684845112224,7.70
94,3.1773702961726333,7.70
95,3.2111721078340443,7.70
96,3.244973919495455,7.70
97,3.278775731156866,7.70
98,3.312577542818277,7.70
99,3.346379354479688,7.70
100,3.3801811661410994,7.88
101,3.4139829778025104,7.88
102,3.4477847894639213,7.88
103,3.4815866011253322,7.88
104,3.515388412786743,7.88
105,3.549190224448154,7.88
106,3.582992036109565,7.88
107,3.616793847770976,7.88
108,3.650595659432387,7.88
109,3.6843974710937983,7.88
110,3.7181992827552093,7.88
111,3.75200109441662,7.88
112,3.785802906078031,7.78
113,3.819604717739442,7.78
114,3.853406529400853,7.78
115,3.887208341062264,7.78
116,3.921010152723675,7.78
117,3.9548119643850863,7.78
118,3.9886137760464973,7.78
119,4.022415587707908,7.78
120,4.056217399369319,8.08
121,4.09001921103073,8.08
122,4.123821022692141,6.48
123,4.157622834353552,6.48
124,4.191424646014963,6.48
125,4.225226457676374,6.48
126,4.259028269337785,6.48
127,4.292830080999196,6.48
128,4.326631892660607,6.48
129,4.360433704322018,6.48
130,4.394235515983429,6.48
131,4.42803732764484,8.88
132,4.461839139306251,8.88
133,4.495640950967662,7.63
134,4.529442762629073,7.63
135,4.563244574290484,7.63
136,4.597046385951895,7.63
137,4.630848197613306,7.63
138,4.664650009274717,7.63
139,4.698451820936128,7.63
140,4.732253632597539,7.63
141,4.76605544425895,7.63
142,4.799857255920361,7.63
143,4.833659067581772,7.51
144,4.867460879243183,7.51
145,4.901262690904594,7.51
146,4.9350645025660045,7.51
147,4.968866314227416,7.51
148,5.002668125888827,7.51
149,5.036469937550238,7.51
150,5.070271749211649,7.51
151,5.10407356087306,7.68
152,5.137875372534471,7.68
153,5.1716771841958815,7.68
154,5.205478995857293,7.68
155,5.239280807518703,7.68
156,5.273082619180115,7.68
157,5.306884430841526,7.68
158,5.340686242502937,7.68
159,5.374488054164348,7.68
160,5.4082898658257585,7.68
161,5.44209167748717,7.68
162,5.47589348914858,7.68
163,5.509695300809992,7.68
164,5.543497112471402,7.61
165,5.577298924132814,7.61
166,5.611100735794225,7.61
167,5.644902547455636,7.61
168,5.678704359117047,7.61
169,5.7125061707784575,7.61
170,5.746307982439869,7.61
171,5.780109794101279,7.61
172,5.813911605762691,7.83
173,5.847713417424101,7.83
174,5.881515229085513,7.73
175,5.915317040746924,7.73
176,5.9491188524083345,7.73
177,5.982920664069746,7.73
178,6.016722475731156,7.73
179,6.050524287392568,7.73
180,6.084326099053978,7.73
181,6.11812791071539,7.73
182,6.151929722376801,7.73
183,6.1857315340382115,7.83
184,6.219533345699623,7.83
185,6.253335157361033,7.67
186,6.287136969022445,7.67
187,6.320938780683855,7.67
188,6.354740592345267,7.67
189,6.388542404006677,7.67
190,6.4223442156680886,7.67
191,6.4561460273295,7.67
192,6.48994783899091,7.67
193,6.523749650652322,7.69
194,6.557551462313732,7.69
195,6.591353273975144,7.59
196,6.625155085636554,7.59
197,6.658956897297966,7.59
198,6.692758708959376,7.59
199,6.7265605206207875,7.59
200,6.760362332282199,7.59
201,6.794164143943609,7.59
202,6.827965955605021,7.59
203,6.861767767266431,7.69
204,6.895569578927843,8.88
205,6.929371390589253,8.00
206,6.9631732022506645,8.00
207,6.996975013912075,8.00
208,7.030776825573486,8.00
209,7.064578637234898,8.00
210,7.098380448896308,8.00
211,7.13218226055772,8.00
212,7.16598407221913,8.00
213,7.1997858838805415,8.00
214,7.233587695541952,8.88
215,7.267389507203363,8.88
216,7.301191318864774,7.55
217,7.334993130526185,7.55
218,7.368794942187597,7.55
219,7.402596753849007,7.55
